Hashtag,Summary,Average Rating
#BETRemembersDMX,Former rap artist DMX recently passed away and BET is a tv station that focuses on rap and R&B music and they're featuring him for all the music he has made while he was alive.,4.0
#ArmenianGenocide,#Armeniangenocide,2.3333333333333335
#BETRemembersDMX,"To honor the life of DMX, BET televised and streamed “BET REMEMBERS DMX”",4.0
#DOYOUNG,great,2.3333333333333335
#marshelicopter,marshelicopter is on trend because it is the first drone to fly to mars. It is incredible that we have managed to fly a drone miles away from the earth,4.333333333333333
#dogecoin,is a cryptocurrency easy investment profit for everyone,4.666666666666667
#supermoon,"Because a full ""pink"" supermoon will illuminate the sky tonight. Monday's supermoon has a tide-shifting twist.",4.0
#dogecoin,"Dogecoin, a meme cryptocurrency, recently saw a skyrocket in value after Elon Musk dubbed himself the ""Dogefather"" and promoted the currency. Although it started out as a joke, it is now a true competitor to Bitcoin.",5.0
#europeansuperleague,European super league is in regards to the Football games that are held around this time every year.,4.333333333333333
#dogecoin,Elon Musk talked about dogecoin,3.6666666666666665
#dogecoin,ssasd,2.0
#europeansuperleague,#europeansuperleague,2.3333333333333335
#ArmenianGenocide,President Joe Biden is being applauded for recognizing the Armenian Genocide.,4.333333333333333
#DOYOUNG,Kim Doyoung who is a korean popstar came out with a new album.,4.0
#GEICO500,"The GEICO 500 is a NASCAR Cup Series stock car race held at the Talladega Superspeedway in Lincoln, Alabama. The race is usually held in April or May.",4.333333333333333
#BETRemembersDMX,BET aired a show honoring the legend DMX,3.3333333333333335
#BETRemembersDMX,funeral event will serve as the final greeting to rapper DMX who died on April 9 at just 50 years old.,3.3333333333333335
#supermoon,supermoon is the coincidence of full moon with the shortest distance between earth and moon. This means that the moon is seen much larger than usual and therefore many people are interested in seeing and photographing it,4.0
#europeansuperleague,#europeansuperleague,3.3333333333333335
#DaunteWright,He was a black man who was killed by the police. Civil rights activists and celebrities are saying his name so he isn't forgotten.,3.6666666666666665
#europeansuperleague,European football clubs to break away from UEFA and start their own competition in 2021,4.666666666666667
#marshelicopter,"In March helicopter was launched to mars, and successfully completed its missions",4.0
#supermoon,#supermoon,1.3333333333333333
#dogecoin,Dogecoin has become a more used open source peer-to-peer cryptocurrency option. Billionaire Elon Musk thinks dugecoing is pretty cool and his company and dogecoin have been talkng. Millions of coins have been transacted in dogecing in an hour in the last 24 hours,4.333333333333333
#supermoon,Tuesday night's supermoon is the first of several for 2021.,4.333333333333333
#marshelicopter,sesds sdsdds ds sdsds,2.3333333333333335
#DOYOUNG,#DOYOUNG,2.3333333333333335
#GEICO500,GEICO is hosting some special sales events for their services.  New customers can get some great rates on special deals too.,4.333333333333333
#GEICO500,Because it gives more attention,3.3333333333333335
#ArmenianGenocide,"systematic killing, ethnic cleansing, Armenian Massacre",4.666666666666667
#ArmenianGenocide,zz sdssdwf feerge efer  erees se e,1.6666666666666667
#myanmar,#myanmar,3.6666666666666665
#GEICO500,This is a Nascar event. It is happening at Talledega. It is a super speedway.,4.0
#europeansuperleague,Top European football clubs to break away from UEFA and start their own competition in 2021.,4.0
#DOYOUNG,Kim Doyoung came out with a new album.,3.3333333333333335
#supermoon,"There was a supermoon on April 27, 2021.",4.0
#supermoon,The full pink moon is appearing and its causing it to become a super moon and people are talking about it and showing pictures of the moon.,4.333333333333333
#supermoon,"Unique moon sighting on May 26, 2021",4.0
#supermoon,A supermoon is a full moon or a new moon that nearly coincides with perigee—the closest that the Moon comes to the Earth in its elliptic orbit—resulting in a slightly larger-than-usual apparent size of the lunar disk as viewed from Earth. The technical name is a perigee syzygy or a full Moon around perigee.,3.3333333333333335
#GEICO500,"The GEICO 500 races are part of NASCAR Cup Series stock car race that was held this past Sunday at the Talladega Superspeedway in Lincoln, Alabama. This year had some surprising new entrances that were unexpected. The race was so tight but as was almost expected Brad Keselowski toped the rece with 49 points running.",4.0
#europeansuperleague,#europeansuperleague,3.0
#DaunteWright,Black man victim of police shooting,3.3333333333333335
#myanmar,"myanmar is a Southeast Asian nation, it is now at war and there are various clashes across the country",4.333333333333333
#ArmenianGenocide,lkk,4.0
#supermoon,sssssss  sssssss ssssssssss,2.6666666666666665
#DaunteWright,sdsda ww w w w,2.0
#DaunteWright,Daunte Wright hes been killed by Police in Minneapolis,4.0
#myanmar,Rockets were fired at two Myanmar airbases in the UN,3.6666666666666665
#DOYOUNG,"Kim Doyoung, who is a korean pop singer, came out with another album.",3.6666666666666665
#europeansuperleague,#europeansuperleague,4.0
#BETRemembersDMX,BET aired a show honoring and remembering legend DMX,4.0
#myanmar,Military attack due to coup,3.0
#GEICO500,Geico is the sponsor of NASCAR Talladega speedway,3.0
#DOYOUNG,#DOYOUNG,4.333333333333333
#dogecoin,It is a meme cryptocurrency that people are buying and hoping to make unrealistic amounts of money,4.0
#DaunteWright,"A police officer shot and killed Daunte Wright in Brooklyn Center, Minn",4.666666666666667
#ArmenianGenocide,President Joe Biden for properly recognized the Armenian Genocide,3.6666666666666665
#marshelicopter,A helicopter has been sent to Mars for the first time in history. It is on it's second flight. It is flying higher and longer.,4.333333333333333
#GEICO500,Geico 500 appears to be a NASCAR Race Cup series thats usually held in April or May every year.,4.333333333333333
#dogecoin,"A digital currency based on the popular internet meme ""doge"" and features a Shiba Inu in its logo.",3.3333333333333335
#BETRemembersDMX,ssssss sssssss ssssssss ssss,1.0
#supermoon,"We just had a super moon on 4/27, everyone is posting their photos of it and tagging it",3.6666666666666665
#BETRemembersDMX,#BETRemembersDMX,2.6666666666666665
#dogecoin,Dogecoin is worth 40 million right now,4.333333333333333
#europeansuperleague,A group of 12 clubs from across Europe's biggest leagues announced plans to form a new competition called the Super League.,3.6666666666666665
#myanmar,ds we ewwewwqf a esds  wewe w wew   wewewew a awwe  wewe,2.6666666666666665
#GEICO500,"One random winner will be selected after the race to win the  @GEICO  car topper, straight from victory lane! One week away from RACE WEEK ? Race is gonna start in a week and every one is waiting for a race.",4.333333333333333
#myanmar,s we fdsfa efefafd e  w,2.3333333333333335
#DOYOUNG,A musician named Doyoung of NCT will be the male lead in a television drama that will air on Friday.,3.6666666666666665
#marshelicopter,"Ingenuity is a small robotic solar helicopter operating on Mars as part of NASA's Mars 2020 mission. On 19 April 2021, it successfully completed the first powered controlled flight by an aircraft on a planet besides Earth, taking off vertically, hovering and landing.[9][10] The battery-powered coaxial drone rotorcraft is serving as a technology demonstrator for the potential use of flying probes on future missions to Mars and other worlds, and will have the potential to scout locations of interest and support the future planning of driving routes for Mars rovers.",4.0
#dogecoin,"Doge coin is becoming a huge craze over the internet world and stocks, so a lot of people are talking about it and investing into it and mining it. S",3.6666666666666665
#ArmenianGenocide,"This hashtag is trending because Biden became the first US President to acknowledge the Armenian Genocide. Previously, it had never been mentioned by a US President.",4.0
#myanmar,news that is happening right now,3.0
#ArmenianGenocide,Biden recognized the armenian genocide,3.3333333333333335
#marshelicopter,"Ingenuity is a small robotic solar helicopter operating on Mars as part of NASA's Mars 2020 mission. On 19 April 2021, it successfully completed the first powered controlled flight by an aircraft on a planet besides Earth, taking off vertically, hovering and landing.[9][10] The battery-powered coaxial drone rotorcraft is serving as a technology demonstrator for the potential use of flying probes on future missions to Mars and other worlds, and will have the potential to scout locations of interest and support the future planning of driving routes for Mars rovers.",4.666666666666667
#myanmar,A peaceful candle-lit night strike was held severals hours ago in Aung Myay Kwat Thit to oppose the recent military coup. Daily protest intesify against military rule in Myanmar. Aung San Suu Kyi still under arrest by the Junta leadership depicting more demostrations by her supporters seeking her release.,4.666666666666667
#DaunteWright,An officer fatally shot Daunte Wright. The officer was white and Daunte was black. Riots took place in the city Daunte's death happened.,4.333333333333333
#marshelicopter,ssssssss s  s s s ssssssss,2.3333333333333335
#DaunteWright,Police shooting of black man named Daunte Wright,3.3333333333333335
#DOYOUNG,"Korean boy group singer Doyoung made his acting debut in the Korean drama ""Cafe Midnight"" in February of 2021.",4.666666666666667
#DaunteWright,"A police officer shot and killed Mr. Wright in Brooklyn Center, Minn",3.3333333333333335
#myanmar,It appears that rockets were fired at two bases in Myanmar,4.0
#GEICO500,#GEICO500,3.3333333333333335
#GEICO500,It is a Nascar super speedway. It is a race of race cars. It is happening at Talledega.,3.3333333333333335
#dogecoin,dogecoin is a famous cryptocurrency such as bitcoin and ethereum. she is depopulated after elon mask tweeted that she was buying dogecoin,4.666666666666667
#marshelicopter,sssssssssss s,2.0
#BETRemembersDMX,"BET is honoring recently deceased rapper Earl ""DMX"" Simmons by broadcasting exclusive coverage of his funeral celebration as well as special programming.",4.666666666666667
#DaunteWright,Daunte Wright was an African American male who recently was shot by the police for no reason over an altercation when he was pulled over by the police while he was on the way over to his brothers house.,4.333333333333333
#marshelicopter,This hashtag is trending because NASA launched a helicopter from Mars last month.,3.6666666666666665
#europeansuperleague,#europeansuperleague,3.0
#BETRemembersDMX,"Television channel BET televised an event called ""BET Remembers DMX"" on April 25, in honour of recently deceased rapper Earl “DMX” Simmons.",4.0
#ArmenianGenocide,President Joe Biden for properly recognized the Armenian Genocide,3.3333333333333335
#myanmar,"There is an ongoing military coup in Myanmar. On Thursday, April 29, two military bases were attacked.",4.0
#DaunteWright,Daunte Wright was an African American Male who recently was killed during a traffic stop for no apparent reason by the police while him and his girlfriend were on the way to his brothers house.,3.3333333333333335
#ArmenianGenocide,It has been mentioned recently by President Joe Biden,3.3333333333333335
#DOYOUNG,He is a member of a K-POP group called NCT,4.0
#marshelicopter,NASA has a helicopter on Mars named Inegnuity. It failed at its fourth attempt to take off today but will have another chance tomorrow.,4.333333333333333
#BETRemembersDMX,#Resign Modi,3.0
#europeansuperleague,This hashtag is trending because a number of European soccer teams announced a plan to form their own soccer league.,4.0
